date,currency_code,local_price,dollar_ex,dollar_price
01/01/2022,EUR,4.95,1,4.95
01/01/2022,EUR,4.35,1,4.35
01/01/2022,EUR,4.46,1,4.46
01/01/2022,EUR,3.4,1,3.4
01/01/2022,GTQ,26,7,3.71
01/01/2022,HNL,89,24,3.71
01/01/2022,HKD,22,7,3.14
01/01/2022,HUF,982,317,3.1
01/01/2022,INR,190,74,2.57
01/01/2022,IDR,34000,14382,2.36
01/01/2022,EUR,4.6,1,4.6
01/01/2022,ILS,17,3,5.67
01/01/2022,EUR,4.8,1,4.8
01/01/2022,JPY,390,115,3.39
01/01/2022,JOD,2.12,1,2.12
01/01/2022,KWD,1.25,1,1.25
01/01/2022,EUR,2.85,1,2.85
01/01/2022,LBP,70000,21500,3.26
01/01/2022,EUR,2.9,1,2.9
01/01/2022,MYR,9.99,4,2.5
01/01/2022,MXN,69,20,3.45
01/01/2022,MDL,52,18,2.89
01/01/2022,EUR,4.4,1,4.4
01/01/2022,NZD,7,1,7
01/01/2022,NIO,134,35,3.83
01/01/2022,NOK,57,8,7.12
01/01/2022,OMR,1.15,1,1.15
01/01/2022,PKR,590,176,3.35
01/01/2022,PEN,12.9,3,4.3
01/01/2022,PHP,142,50,2.84
01/01/2022,PLN,14.08,4,3.52
01/01/2022,EUR,3.45,1,3.45
01/01/2022,QAR,13,3,4.33
01/01/2022,RON,10.6,4,2.65
01/01/2022,RUB,135,77,1.75
01/01/2022,SAR,15,3,5
01/01/2022,SGD,5.9,1,5.9
01/01/2022,EUR,3.8,1,3.8
01/01/2022,EUR,2.8,1,2.8
01/01/2022,ZAR,39.9,15,2.66
01/01/2022,KRW,4600,1205,3.82
01/01/2022,EUR,4.58,1,4.58
01/01/2022,LKR,840,202,4.16
01/01/2022,SEK,54,9,6
01/01/2022,CHF,6.5,1,6.5
01/01/2022,TWD,75,27,2.78
01/01/2022,THB,128,33,3.88
01/01/2022,TRY,24.99,13,1.92
01/01/2022,UAH,69,28,2.46
01/01/2022,AED,17,3,5.67
01/01/2022,USD,5.04,1,5.04
01/01/2022,UYU,239,44,5.43
01/01/2022,VES,23,4,5.75
01/01/2022,VND,69000,22650,3.05
01/07/2022,ARS,590,129,4.57
01/07/2022,AUD,6.7,1,6.7
01/07/2022,EUR,4.35,1,4.35
01/07/2022,AZN,4.7,1,4.7
01/07/2022,BHD,1.6,1,1.6
01/07/2022,EUR,4.6,1,4.6
01/07/2022,BRL,22.9,5,4.58
01/07/2022,GBP,3.69,1,3.69
01/07/2022,CAD,6.77,1,6.77
01/07/2022,CLP,3400,928,3.66
01/07/2022,CNY,24,6,4
01/07/2022,COP,14950,4295,3.48
01/07/2022,CRC,2650,678,3.91
01/07/2022,HRK,27,7,3.86
01/07/2022,CZK,95,23,4.13
01/07/2022,EGP,46,18,2.56
01/07/2022,EUR,3.4,1,3.4
01/07/2022,EUR,4.65,1,4.65
01/07/2022,EUR,5.25,1,5.25
01/07/2022,EUR,4.7,1,4.7
01/07/2022,EUR,4.58,1,4.58
01/07/2022,EUR,4,1,4
01/07/2022,GTQ,26,7,3.71
01/07/2022,HNL,89,24,3.71
01/07/2022,HKD,21,7,3
01/07/2022,HUF,1030,389,2.65
01/07/2022,INR,191,79,2.42
01/07/2022,IDR,35000,14977,2.34
01/07/2022,EUR,5,1,5
01/07/2022,ILS,17,3,5.67
01/07/2022,EUR,5.1,1,5.1
01/07/2022,JPY,390,137,2.85
01/07/2022,JOD,2.3,1,2.3
01/07/2022,KWD,1.3,1,1.3
01/07/2022,EUR,3,1,3
01/07/2022,LBP,130000,25600,5.08
01/07/2022,EUR,3.05,1,3.05
01/07/2022,MYR,10.9,4,2.72
01/07/2022,MXN,70,20,3.5
01/07/2022,MDL,60,19,3.16
01/07/2022,EUR,4.5,1,4.5
01/07/2022,NZD,7.1,1,7.1
01/07/2022,NIO,139,35,3.97
01/07/2022,NOK,62,9,6.89
01/07/2022,OMR,1.42,1,1.42
01/07/2022,PKR,700,221,3.17
01/07/2022,PEN,13.9,3,4.63
01/07/2022,PHP,155,56,2.77
01/07/2022,PLN,16.68,4,4.17
01/07/2022,EUR,4,1,4
01/07/2022,QAR,13,3,4.33
01/07/2022,RON,11,4,2.75
01/07/2022,SAR,17,3,5.67
01/07/2022,SGD,5.9,1,5.9
01/07/2022,EUR,3.9,1,3.9
01/07/2022,EUR,3.2,1,3.2
01/07/2022,ZAR,39.9,17,2.35
01/07/2022,KRW,4600,1313,3.5
01/07/2022,EUR,4.58,1,4.58
01/07/2022,LKR,1340,360,3.72
01/07/2022,SEK,57,10,5.7
01/07/2022,CHF,6.5,1,6.5
01/07/2022,TWD,75,29,2.59
01/07/2022,THB,128,36,3.56
01/07/2022,TRY,47,17,2.76
01/07/2022,AED,18,3,6
01/07/2022,USD,5.15,1,5.15
01/07/2022,UYU,255,41,6.22
01/07/2022,VES,10,5,2
01/07/2022,VND,69000,23417,2.95
